Client_ID,Age,Gender,Location,Income,User_Interest,Acquisition_Source,Device_Type,Engagement_Time_Minutes,Price_Sensitivity,Purchase_Frequency,Average_Order_Value
EA-00334,46,Female,Suburban,141000,Bargains,Organic Search,Desktop,14.5,Medium,2,1592.53
EA-04685,38,Female,Suburban,40000,Anti-aging,Referral,Desktop,2.7,Medium,3,1065.1
EA-00487,34,Female,Urban,31500,Bargains,Groupon,Mobile,2.9,High,1,192.88
EA-01963,38,Female,Urban,57500,Bargains,Groupon,Mobile,4.7,High,1,355.64
EA-00394,47,Female,Suburban,114500,Anti-aging,Organic Search,Desktop,20.3,Medium,3,1734.43
EA-04843,31,Female,Suburban,50500,Bargains,Facebook Ad,Mobile,8.0,High,1,418.32
EA-04867,34,Male,Suburban,66500,Bargains,Facebook Ad,Mobile,4.2,High,1,351.03
EA-01756,33,Female,Urban,63500,Skincare,Groupon,Mobile,1.0,Medium,1,442.51
EA-02516,63,Female,Urban,135500,Wellness,Organic Search,Desktop,16.8,Low,4,1994.05
EA-03586,43,Female,Suburban,143500,Skincare,Organic Search,Mobile,12.2,Low,4,1815.5
EA-04316,27,Female,Urban,51000,Bargains,Groupon,Mobile,1.9,High,1,347.15
EA-04967,34,Female,Rural,42500,Bargains,Facebook Ad,Mobile,4.5,High,1,477.23
EA-02100,40,Female,Urban,44000,Bargains,Facebook Ad,Mobile,1.1,High,1,277.6
EA-03600,29,Female,Urban,69000,Wellness,Groupon,Desktop,1.2,Medium,3,489.79
EA-04122,51,Female,Urban,64000,Wellness,Organic Search,Desktop,11.7,Medium,5,2107.85
EA-00030,39,Female,Urban,134500,Skincare,Organic Search,Desktop,10.6,Medium,4,1687.49
EA-00066,19,Female,Suburban,22000,Bargains,Groupon,Mobile,4.2,High,1,427.97
EA-00839,30,Female,Urban,55500,Bargains,Groupon,Mobile,3.0,High,1,199.68
EA-03907,29,Female,Suburban,99000,Skincare,Organic Search,Desktop,19.4,Medium,3,1908.69
EA-03774,54,Female,Urban,118000,Anti-aging,Organic Search,Desktop,13.8,Low,2,1438.3
EA-04636,21,Female,Suburban,60500,Skincare,Facebook Ad,Mobile,5.9,Low,1,238.68
EA-03162,54,Female,Rural,104000,Skincare,Referral,Mobile,6.2,Low,2,557.43
EA-02660,19,Female,Rural,29500,Bargains,Facebook Ad,Mobile,7.8,High,1,357.61
EA-04616,30,Female,Urban,84500,Bargains,Facebook Ad,Mobile,2.6,High,1,505.07
EA-04629,27,Female,Suburban,60000,Bargains,Facebook Ad,Desktop,2.0,High,1,451.62
EA-02452,58,Male,Suburban,70000,Anti-aging,Organic Search,Mobile,23.5,Low,2,1828.01
EA-02847,42,Male,Urban,48500,Bargains,Facebook Ad,Mobile,2.9,High,1,623.97
EA-01145,35,Female,Suburban,71000,Bargains,Groupon,Mobile,2.0,High,1,515.04
EA-03079,29,Female,Rural,88000,Skincare,Groupon,Mobile,4.5,High,1,607.63
EA-01104,56,Female,Rural,69500,Wellness,Organic Search,Desktop,22.4,Low,5,1472.13
EA-00169,35,Female,Suburban,50500,Bargains,Facebook Ad,Mobile,5.1,High,1,375.11
EA-01671,40,Female,Urban,70000,Bargains,Facebook Ad,Tablet,1.9,High,1,379.83
EA-02571,29,Female,Rural,66500,Bargains,Facebook Ad,Mobile,4.1,High,1,412.73
EA-02378,24,Female,Suburban,61500,Anti-aging,Groupon,Mobile,7.5,High,1,471.23
EA-04396,22,Female,Suburban,38500,Bargains,Groupon,Mobile,2.8,High,1,346.22
EA-04258,24,Male,Suburban,38000,Bargains,Groupon,Mobile,0.7,High,1,150.0
EA-03863,48,Female,Suburban,56500,Anti-aging,Organic Search,Desktop,6.2,Medium,1,2112.21
EA-00024,56,Female,Urban,120000,Anti-aging,Referral,Mobile,10.8,High,1,610.29
EA-02634,29,Female,Rural,43000,Bargains,Groupon,Mobile,5.6,High,1,323.55
EA-03341,34,Female,Suburban,40000,Bargains,Facebook Ad,Mobile,1.2,High,1,493.49
EA-02216,36,Female,Suburban,24500,Bargains,Facebook Ad,Mobile,6.2,Medium,1,283.6
EA-03683,37,Female,Urban,57500,Bargains,Groupon,Mobile,4.0,High,1,489.77
EA-04725,30,Female,Suburban,70500,Bargains,Facebook Ad,Mobile,4.4,High,1,288.75
EA-01908,33,Female,Urban,61500,Bargains,Facebook Ad,Tablet,1.2,Medium,1,484.03
EA-00085,34,Female,Urban,56000,Bargains,Facebook Ad,Mobile,2.0,High,1,452.26
EA-00228,27,Female,Rural,38000,Bargains,Groupon,Mobile,5.5,Medium,4,497.32
EA-00297,39,Female,Suburban,91500,Anti-aging,Referral,Desktop,17.3,Medium,2,969.99
EA-01002,30,Female,Urban,38500,Bargains,Groupon,Mobile,1.7,High,1,493.28
EA-02139,47,Female,Suburban,66000,Wellness,Organic Search,Desktop,22.8,Medium,3,2425.07
EA-00712,55,Female,Urban,143500,Anti-aging,Organic Search,Desktop,6.9,Medium,2,1548.25
EA-02802,28,Male,Suburban,43500,Skincare,Groupon,Desktop,7.3,Medium,1,614.89
EA-02528,46,Female,Urban,59500,Skincare,Referral,Tablet,8.5,Medium,1,1062.87
EA-03753,19,Female,Suburban,39500,Bargains,Groupon,Tablet,3.9,Medium,1,601.24
EA-03322,36,Female,Suburban,44500,Bargains,Groupon,Mobile,1.9,High,1,248.79
EA-03182,35,Female,Rural,58000,Bargains,Facebook Ad,Mobile,4.8,Medium,1,272.87
EA-04184,27,Male,Urban,42500,Skincare,Groupon,Tablet,2.4,High,1,394.23
EA-01616,29,Female,Urban,32500,Bargains,Facebook Ad,Mobile,1.9,Medium,1,206.76
EA-03025,38,Female,Suburban,88500,Bargains,Facebook Ad,Mobile,5.2,High,3,475.71
EA-01414,50,Female,Urban,117500,Skincare,Referral,Mobile,2.0,High,1,309.02
EA-00764,26,Female,Urban,54000,Bargains,Facebook Ad,Mobile,3.1,High,1,345.97
EA-00656,30,Female,Urban,55500,Bargains,Facebook Ad,Tablet,5.3,High,1,349.93
EA-04798,35,Female,Urban,30500,Bargains,Groupon,Mobile,5.3,High,3,380.57
EA-03850,31,Female,Urban,62000,Skincare,Facebook Ad,Mobile,0.4,High,1,396.27
EA-04154,30,Female,Urban,66000,Skincare,Groupon,Desktop,6.5,Medium,1,660.37
EA-00469,29,Female,Suburban,64000,Bargains,Facebook Ad,Mobile,3.5,High,1,292.73
EA-00158,30,Female,Suburban,103000,Skincare,Organic Search,Tablet,23.3,Low,5,2423.75
EA-01296,33,Female,Rural,55500,Bargains,Facebook Ad,Mobile,6.8,High,1,545.07
EA-00498,27,Female,Urban,76500,Bargains,Groupon,Desktop,3.6,High,1,451.04
EA-04741,31,Female,Urban,56500,Bargains,Facebook Ad,Tablet,4.0,High,1,276.26
EA-02941,45,Female,Rural,67500,Skincare,Referral,Desktop,9.0,Low,2,1132.5
EA-03457,29,Female,Urban,47500,Skincare,Referral,Mobile,4.8,Low,1,1086.94
EA-00374,21,Female,Suburban,37500,Bargains,Facebook Ad,Mobile,4.8,Medium,1,395.86
EA-00080,35,Female,Rural,114000,Anti-aging,Organic Search,Mobile,8.2,Low,3,2195.5
EA-01554,28,Female,Rural,57000,Bargains,Facebook Ad,Mobile,3.5,High,1,150.0
EA-01670,41,Female,Rural,91000,Anti-aging,Organic Search,Desktop,12.0,Low,2,2500.0
EA-02132,42,Female,Urban,63500,Skincare,Organic Search,Mobile,8.7,Low,2,1333.25
EA-04440,29,Female,Urban,62500,Bargains,Facebook Ad,Mobile,5.4,High,1,162.55
EA-00466,43,Female,Suburban,124000,Anti-aging,Organic Search,Tablet,19.7,Low,3,1763.45
EA-00249,19,Female,Urban,45000,Bargains,Facebook Ad,Mobile,0.8,Medium,1,405.55
EA-00932,30,Female,Suburban,42500,Bargains,Facebook Ad,Mobile,2.1,High,1,290.96
EA-01336,56,Female,Urban,96000,Skincare,Organic Search,Tablet,22.1,Low,5,2500.0
EA-04525,63,Female,Suburban,113000,Wellness,Organic Search,Tablet,4.5,Medium,3,1718.67
EA-01339,44,Female,Urban,131500,Skincare,Organic Search,Mobile,19.2,Low,4,2048.46
EA-01407,58,Female,Suburban,72500,Bargains,Referral,Mobile,6.8,Medium,2,846.33
EA-01091,40,Female,Suburban,79000,Wellness,Facebook Ad,Mobile,2.1,High,1,313.12
EA-04210,19,Female,Urban,56500,Bargains,Facebook Ad,Mobile,4.0,High,1,438.8
EA-00743,54,Male,Urban,92500,Anti-aging,Organic Search,Mobile,16.4,Medium,5,2224.33
EA-02324,33,Female,Urban,45500,Skincare,Facebook Ad,Mobile,3.8,Medium,1,175.59
EA-03602,34,Female,Suburban,54000,Bargains,Facebook Ad,Tablet,1.9,High,1,281.08
EA-02124,33,Male,Rural,69500,Bargains,Facebook Ad,Mobile,3.1,High,1,474.42
EA-02095,51,Female,Suburban,88500,Skincare,Referral,Desktop,16.7,Medium,3,956.98
EA-00241,39,Female,Urban,88000,Anti-aging,Organic Search,Mobile,12.4,Low,5,2154.46
EA-02352,40,Female,Suburban,109500,Skincare,Organic Search,Mobile,19.0,Low,4,1756.84
EA-01371,38,Female,Urban,62000,Bargains,Facebook Ad,Desktop,3.2,High,1,349.72
EA-01058,21,Female,Suburban,44500,Anti-aging,Facebook Ad,Mobile,2.8,High,1,292.09
EA-04817,19,Female,Suburban,22000,Bargains,Facebook Ad,Mobile,1.4,Medium,1,512.56
EA-00200,33,Female,Rural,54500,Skincare,Facebook Ad,Mobile,3.4,High,1,749.34
EA-02281,28,Female,Urban,38500,Skincare,Groupon,Mobile,4.8,Medium,1,603.87
EA-04750,29,Female,Rural,38000,Bargains,Facebook Ad,Mobile,5.0,Medium,1,397.6
EA-02221,31,Female,Suburban,44000,Bargains,Facebook Ad,Mobile,1.5,High,1,150.0
EA-04772,31,Female,Urban,59500,Bargains,Facebook Ad,Mobile,3.4,High,1,515.47
EA-02820,38,Female,Suburban,80500,Wellness,Referral,Tablet,5.7,Medium,3,1115.55
EA-03151,21,Female,Urban,42500,Bargains,Facebook Ad,Mobile,3.5,High,1,334.84
EA-04257,26,Male,Urban,31000,Skincare,Facebook Ad,Mobile,3.6,High,3,373.17
EA-03108,33,Female,Rural,37500,Bargains,Groupon,Mobile,4.0,Medium,1,441.44
EA-01974,44,Female,Urban,71500,Skincare,Facebook Ad,Tablet,1.4,High,1,378.02
EA-01376,30,Male,Suburban,23000,Bargains,Facebook Ad,Mobile,4.3,High,1,306.8
EA-03969,27,Female,Suburban,45000,Bargains,Groupon,Mobile,5.4,Medium,1,357.85
EA-04063,20,Female,Suburban,47500,Bargains,Facebook Ad,Tablet,6.5,High,1,225.88
EA-04446,44,Female,Suburban,76500,Bargains,Groupon,Mobile,0.4,High,1,458.02
EA-03558,30,Female,Urban,90000,Skincare,Referral,Mobile,13.2,Medium,3,827.5
EA-00965,45,Female,Suburban,81500,Skincare,Referral,Desktop,9.9,Low,4,1189.97
EA-00180,35,Female,Urban,96500,Wellness,Organic Search,Desktop,22.9,Low,7,2159.21
EA-03699,33,Female,Urban,72500,Bargains,Facebook Ad,Mobile,2.5,High,1,283.38
EA-03822,38,Female,Suburban,25000,Bargains,Groupon,Mobile,2.2,High,1,329.03
EA-04879,34,Male,Suburban,32500,Bargains,Facebook Ad,Mobile,4.1,Medium,1,150.0
EA-03900,25,Female,Suburban,83500,Skincare,Facebook Ad,Mobile,5.2,High,1,150.0
EA-04488,24,Female,Suburban,43500,Skincare,Facebook Ad,Mobile,2.2,High,1,237.49
EA-03239,22,Female,Rural,31000,Bargains,Facebook Ad,Mobile,6.0,High,1,323.93
EA-02975,26,Female,Suburban,41000,Wellness,Groupon,Desktop,4.4,High,1,458.99
EA-03581,42,Female,Urban,134500,Skincare,Organic Search,Mobile,14.0,Low,3,2213.95
EA-02888,50,Female,Rural,81500,Wellness,Referral,Mobile,18.9,Medium,2,300.0
EA-02576,33,Female,Urban,68000,Skincare,Groupon,Tablet,1.4,Medium,1,404.15
EA-01420,39,Female,Urban,69500,Wellness,Referral,Desktop,5.7,Medium,3,927.75
EA-03908,40,Female,Urban,101500,Skincare,Organic Search,Mobile,16.5,Low,3,2087.21
EA-04674,37,Female,Rural,51500,Wellness,Facebook Ad,Mobile,4.9,High,1,273.77
EA-04903,26,Female,Suburban,46000,Bargains,Facebook Ad,Mobile,1.7,High,1,211.42
EA-01861,19,Male,Urban,62000,Bargains,Groupon,Desktop,3.8,Medium,1,446.99
EA-00009,32,Female,Suburban,70000,Anti-aging,Facebook Ad,Mobile,1.2,High,1,428.26
EA-02895,51,Female,Rural,55500,Anti-aging,Referral,Desktop,9.7,Medium,2,1071.4
EA-02848,19,Male,Urban,36000,Bargains,Facebook Ad,Mobile,4.4,Medium,1,395.56
EA-03665,34,Female,Suburban,78000,Bargains,Facebook Ad,Mobile,6.6,High,1,374.52
EA-00145,27,Male,Suburban,68000,Bargains,Groupon,Mobile,0.8,High,1,414.65
EA-02105,24,Female,Urban,55000,Bargains,Groupon,Mobile,4.4,High,1,319.28
EA-03144,29,Female,Suburban,78500,Bargains,Facebook Ad,Mobile,1.4,High,1,379.85
EA-00842,40,Female,Suburban,125000,Wellness,Organic Search,Mobile,8.4,Medium,1,1360.59
EA-01129,52,Female,Suburban,87000,Wellness,Organic Search,Desktop,25.7,Medium,5,1802.23
EA-00152,36,Female,Urban,58000,Skincare,Referral,Mobile,10.7,Low,1,1200.33
EA-03592,20,Female,Urban,28500,Bargains,Facebook Ad,Mobile,1.3,High,1,568.52
EA-01053,41,Female,Urban,42000,Bargains,Facebook Ad,Mobile,0.4,High,1,150.0
EA-01591,34,Female,Suburban,55000,Bargains,Facebook Ad,Mobile,7.7,High,1,417.01
EA-03009,25,Female,Suburban,37000,Bargains,Facebook Ad,Mobile,3.1,High,1,431.8
EA-02030,27,Female,Urban,64000,Skincare,Groupon,Mobile,4.7,Medium,1,351.98
EA-03419,20,Female,Urban,42000,Bargains,Facebook Ad,Mobile,3.5,Medium,3,182.16
EA-01808,21,Female,Urban,39500,Bargains,Groupon,Mobile,4.4,High,1,418.88
EA-02697,49,Male,Suburban,75500,Skincare,Organic Search,Mobile,23.7,Low,6,1561.4
EA-03040,22,Female,Urban,44500,Bargains,Groupon,Mobile,0.9,High,1,446.61
EA-00473,26,Female,Suburban,52000,Bargains,Facebook Ad,Mobile,0.4,High,1,479.83
EA-03290,38,Female,Rural,47500,Bargains,Groupon,Desktop,3.0,High,1,401.99
EA-04075,27,Female,Urban,55500,Wellness,Facebook Ad,Mobile,4.7,High,1,372.92
EA-03497,28,Female,Urban,141500,Wellness,Organic Search,Mobile,16.3,Low,4,2279.03
EA-00280,44,Male,Suburban,113000,Wellness,Organic Search,Mobile,12.5,Low,3,1137.27
EA-01742,31,Male,Suburban,82000,Bargains,Facebook Ad,Tablet,3.0,High,2,550.07
EA-04625,35,Female,Rural,65500,Bargains,Facebook Ad,Mobile,3.5,Low,1,577.67
EA-02887,27,Female,Suburban,68000,Bargains,Facebook Ad,Mobile,4.5,High,1,371.17
EA-01942,29,Female,Suburban,50500,Skincare,Groupon,Desktop,0.4,Medium,1,607.99
EA-00101,42,Female,Suburban,68500,Skincare,Referral,Mobile,7.6,Medium,2,936.08
EA-02805,36,Female,Urban,62500,Skincare,Facebook Ad,Mobile,5.4,Medium,1,260.41
EA-03571,30,Female,Urban,81000,Skincare,Organic Search,Tablet,3.5,Medium,1,1656.29
EA-03685,27,Female,Rural,46000,Bargains,Facebook Ad,Mobile,3.6,Low,1,335.89
EA-03662,48,Female,Rural,41500,Skincare,Referral,Mobile,8.2,Medium,1,734.89
EA-00531,50,Female,Urban,126000,Skincare,Organic Search,Desktop,18.1,High,6,1762.14
EA-01887,25,Female,Suburban,47000,Bargains,Facebook Ad,Mobile,1.4,Medium,1,382.1
EA-00682,37,Male,Urban,33000,Bargains,Facebook Ad,Tablet,2.0,Medium,1,440.89
EA-03795,34,Female,Urban,74000,Skincare,Groupon,Mobile,1.1,High,1,403.77
EA-03945,19,Female,Urban,52000,Bargains,Facebook Ad,Mobile,3.8,High,1,471.11
EA-04667,43,Male,Urban,127500,Skincare,Organic Search,Mobile,3.2,Medium,2,1843.66
EA-02019,21,Female,Suburban,55500,Bargains,Groupon,Mobile,2.0,High,1,396.38
EA-01097,29,Female,Urban,34500,Bargains,Facebook Ad,Desktop,2.7,High,1,612.1
EA-00830,28,Male,Suburban,63000,Skincare,Facebook Ad,Mobile,5.7,High,3,225.99
EA-02806,25,Female,Urban,51000,Bargains,Facebook Ad,Mobile,3.2,Medium,1,341.58
EA-03830,34,Female,Suburban,39500,Bargains,Groupon,Desktop,1.5,Medium,1,161.22
EA-04382,34,Male,Rural,56000,Bargains,Facebook Ad,Mobile,1.4,High,1,420.82
EA-03892,31,Female,Urban,124000,Wellness,Organic Search,Mobile,9.9,Low,3,2462.04
EA-00765,30,Female,Urban,80000,Anti-aging,Referral,Mobile,11.7,Medium,2,925.22
EA-02768,32,Female,Urban,78500,Anti-aging,Organic Search,Desktop,7.4,Low,2,1925.85
EA-04329,39,Female,Suburban,96500,Skincare,Organic Search,Mobile,29.8,Low,4,2500.0
EA-03296,49,Female,Urban,105000,Bargains,Referral,Tablet,5.6,Medium,1,1007.52
EA-02195,19,Female,Suburban,53500,Wellness,Groupon,Mobile,6.2,High,1,489.89
EA-02358,39,Female,Urban,52000,Bargains,Groupon,Mobile,0.4,High,1,331.59
EA-03426,28,Male,Urban,58000,Anti-aging,Groupon,Mobile,0.6,High,3,366.25
EA-03980,38,Female,Suburban,91000,Anti-aging,Organic Search,Desktop,12.5,Low,4,2079.88
EA-00912,47,Female,Suburban,130000,Anti-aging,Organic Search,Mobile,13.7,Medium,2,2500.0
EA-03146,25,Female,Urban,50500,Skincare,Groupon,Mobile,2.3,High,1,346.19
EA-01000,31,Female,Urban,37500,Bargains,Facebook Ad,Mobile,0.4,High,1,517.68
EA-03654,25,Female,Rural,45000,Wellness,Facebook Ad,Mobile,1.0,High,1,370.64
EA-02484,44,Female,Rural,49500,Skincare,Facebook Ad,Mobile,5.4,High,1,275.13
EA-04077,26,Female,Urban,60500,Bargains,Groupon,Mobile,4.1,High,1,324.51
EA-02371,30,Female,Urban,26000,Skincare,Groupon,Mobile,5.4,High,3,362.91
EA-04839,37,Female,Suburban,41000,Bargains,Facebook Ad,Mobile,4.3,High,1,150.0
EA-00034,34,Male,Suburban,80000,Bargains,Facebook Ad,Mobile,2.5,High,1,201.63
EA-03790,30,Female,Urban,68500,Wellness,Organic Search,Tablet,16.3,Medium,4,2010.7
EA-01021,56,Female,Urban,101500,Wellness,Referral,Desktop,6.1,Medium,3,928.68
EA-01648,53,Female,Suburban,118000,Skincare,Organic Search,Desktop,15.5,Low,5,2344.71
EA-00734,26,Male,Suburban,42000,Bargains,Facebook Ad,Tablet,3.9,High,1,349.82
EA-04583,37,Female,Suburban,87000,Anti-aging,Organic Search,Tablet,17.0,Low,4,1969.84
EA-03275,42,Female,Urban,62500,Skincare,Organic Search,Desktop,18.8,Low,3,2073.05
EA-01621,33,Male,Suburban,74000,Bargains,Facebook Ad,Mobile,4.3,High,1,384.89
EA-03136,32,Female,Urban,77000,Anti-aging,Organic Search,Desktop,17.2,Low,5,1910.1
EA-02690,28,Female,Urban,54500,Skincare,Groupon,Mobile,1.8,High,1,150.0
EA-02708,35,Female,Suburban,59500,Bargains,Facebook Ad,Mobile,1.6,High,1,345.25
EA-00298,44,Female,Suburban,66000,Anti-aging,Organic Search,Mobile,18.6,Low,5,2014.01
EA-02340,29,Female,Urban,69500,Skincare,Facebook Ad,Tablet,3.4,Medium,1,188.23
EA-00654,25,Female,Suburban,82500,Bargains,Facebook Ad,Mobile,2.5,High,1,362.43
EA-03775,39,Non-binary,Suburban,87500,Wellness,Organic Search,Mobile,13.2,Medium,5,1385.5
EA-01256,50,Female,Rural,102500,Anti-aging,Organic Search,Desktop,3.5,Low,3,1819.33
EA-04521,32,Female,Suburban,73000,Bargains,Facebook Ad,Mobile,1.7,High,1,201.23
EA-00231,29,Female,Urban,66000,Bargains,Facebook Ad,Mobile,2.7,High,1,343.84
EA-03277,31,Female,Suburban,60500,Skincare,Groupon,Mobile,3.0,High,3,345.03
EA-03231,27,Female,Urban,47000,Bargains,Groupon,Mobile,1.9,High,1,597.25
EA-00692,38,Female,Suburban,94000,Wellness,Referral,Desktop,20.0,Low,3,866.07
EA-02755,50,Female,Urban,107500,Wellness,Organic Search,Mobile,17.2,Low,4,1465.28
EA-04864,43,Female,Urban,129000,Skincare,Organic Search,Desktop,20.7,High,6,2259.99
EA-00970,22,Female,Urban,59000,Bargains,Facebook Ad,Mobile,6.4,High,1,193.85
EA-00634,24,Female,Urban,40000,Bargains,Facebook Ad,Mobile,3.1,High,1,295.54
EA-04093,36,Male,Urban,112500,Wellness,Organic Search,Desktop,15.5,Low,5,2165.15
EA-04078,21,Female,Suburban,63500,Bargains,Groupon,Mobile,2.1,High,1,207.71
EA-01322,19,Male,Rural,71000,Bargains,Groupon,Mobile,4.3,High,1,403.77
EA-01832,67,Female,Urban,110500,Bargains,Referral,Desktop,3.2,Medium,2,1027.21
EA-02179,31,Female,Urban,83000,Bargains,Facebook Ad,Mobile,3.0,High,1,319.18
EA-01418,33,Female,Suburban,45000,Anti-aging,Groupon,Mobile,3.9,High,1,150.0
EA-01783,26,Female,Urban,47000,Bargains,Facebook Ad,Tablet,5.9,High,1,401.62
EA-04716,20,Female,Urban,58000,Bargains,Facebook Ad,Mobile,4.2,Medium,2,575.87
EA-04702,38,Female,Suburban,65000,Bargains,Groupon,Mobile,4.7,High,1,294.28
EA-04119,19,Male,Suburban,29500,Bargains,Facebook Ad,Mobile,6.4,High,3,221.26
EA-01653,35,Male,Suburban,55000,Skincare,Facebook Ad,Desktop,6.3,High,1,379.67
EA-01484,30,Female,Urban,46500,Skincare,Facebook Ad,Mobile,2.0,High,1,342.57
EA-02276,37,Female,Suburban,65500,Bargains,Facebook Ad,Mobile,5.5,High,1,317.68
EA-00878,38,Male,Rural,67000,Skincare,Facebook Ad,Tablet,1.3,High,1,419.43
EA-03526,39,Female,Urban,55000,Bargains,Groupon,Desktop,7.4,High,1,150.0
EA-02017,28,Female,Suburban,33000,Skincare,Facebook Ad,Mobile,4.4,Medium,1,282.99
EA-00427,29,Female,Suburban,57500,Bargains,Facebook Ad,Mobile,8.8,High,1,522.74
EA-00627,49,Female,Urban,86500,Wellness,Organic Search,Mobile,7.4,Medium,2,1172.32
EA-01590,31,Female,Urban,60500,Bargains,Facebook Ad,Mobile,5.5,Medium,1,485.66
EA-02224,47,Female,Rural,56500,Wellness,Facebook Ad,Mobile,4.6,Medium,2,394.59
EA-02218,42,Female,Rural,138500,Anti-aging,Referral,Mobile,17.9,Low,1,448.11
EA-04484,33,Female,Urban,53000,Bargains,Facebook Ad,Mobile,3.0,Medium,1,372.03
EA-01486,39,Female,Urban,79500,Bargains,Facebook Ad,Mobile,1.4,High,1,403.38
EA-01740,44,Female,Suburban,117000,Skincare,Organic Search,Mobile,6.0,Low,3,1744.09
EA-02481,30,Female,Urban,49000,Skincare,Groupon,Mobile,4.2,Medium,1,487.78
EA-02585,23,Female,Urban,72000,Anti-aging,Facebook Ad,Mobile,6.8,High,1,287.61
EA-02894,42,Female,Suburban,60000,Bargains,Groupon,Mobile,6.3,High,1,257.06
EA-00150,25,Male,Suburban,65000,Skincare,Facebook Ad,Tablet,3.2,High,1,212.18
EA-00677,45,Female,Rural,89000,Wellness,Referral,Mobile,4.9,Medium,2,524.6
EA-01262,39,Male,Urban,55500,Bargains,Facebook Ad,Mobile,4.6,High,1,256.3
EA-04918,46,Female,Urban,77500,Anti-aging,Organic Search,Mobile,13.6,Low,4,1695.53
EA-00013,33,Female,Urban,41000,Wellness,Groupon,Mobile,2.4,High,1,342.67
EA-01834,31,Female,Urban,44500,Wellness,Facebook Ad,Mobile,3.1,High,1,362.37
EA-03249,42,Female,Suburban,136000,Anti-aging,Organic Search,Desktop,13.0,Low,5,1851.5
EA-01492,42,Non-binary,Urban,74500,Wellness,Organic Search,Mobile,7.7,Low,1,2500.0
EA-02728,23,Non-binary,Urban,59500,Bargains,Facebook Ad,Mobile,3.1,High,1,391.55
EA-03687,30,Female,Suburban,73000,Bargains,Facebook Ad,Mobile,0.4,High,1,543.57
EA-01425,33,Female,Suburban,87500,Bargains,Facebook Ad,Mobile,1.9,High,1,409.33
EA-04606,22,Female,Suburban,36000,Bargains,Facebook Ad,Mobile,5.7,High,1,311.68
EA-04596,48,Female,Suburban,90500,Anti-aging,Referral,Tablet,11.0,Medium,1,735.58
EA-00732,33,Female,Suburban,102500,Bargains,Facebook Ad,Mobile,9.5,Medium,1,272.29
EA-01232,33,Female,Urban,50500,Bargains,Groupon,Mobile,0.7,High,1,553.92
EA-01635,26,Female,Urban,67500,Anti-aging,Referral,Mobile,6.1,High,2,396.71
EA-03937,33,Female,Suburban,55500,Bargains,Facebook Ad,Mobile,5.4,High,1,150.0
EA-01211,43,Female,Suburban,89500,Wellness,Organic Search,Mobile,25.5,Low,6,1575.03
