Client_ID,Age,Gender,Location,Income,User_Interest,Acquisition_Source,Device_Type,Engagement_Time_Minutes,Price_Sensitivity,Purchase_Frequency,Average_Order_Value,Cluster,Cluster_Name
EA-00297,39,Female,Suburban,91500,Anti-aging,Referral,Desktop,17.3,Medium,2,969.99,3,Hamesha 25 Club (Referral Regulars)
EA-01002,30,Female,Urban,38500,Bargains,Groupon,Mobile,1.7,High,1,493.28,0,Gayab Grahak (Groupon One-Timers)
EA-02139,47,Female,Suburban,66000,Wellness,Organic Search,Desktop,22.8,Medium,3,2425.07,1,Glow Ke Nawab (Organic VIPs)
EA-00712,55,Female,Urban,143500,Anti-aging,Organic Search,Desktop,6.9,Medium,2,1548.25,1,Glow Ke Nawab (Organic VIPs)
EA-02802,28,Male,Suburban,43500,Skincare,Groupon,Desktop,7.3,Medium,1,614.89,0,Gayab Grahak (Groupon One-Timers)
EA-02528,46,Female,Urban,59500,Skincare,Referral,Tablet,8.5,Medium,1,1062.87,3,Hamesha 25 Club (Referral Regulars)
EA-03753,19,Female,Suburban,39500,Bargains,Groupon,Tablet,3.9,Medium,1,601.24,0,Gayab Grahak (Groupon One-Timers)
EA-03322,36,Female,Suburban,44500,Bargains,Groupon,Mobile,1.9,High,1,248.79,0,Gayab Grahak (Groupon One-Timers)
EA-03182,35,Female,Rural,58000,Bargains,Facebook Ad,Mobile,4.8,Medium,1,272.87,2,Self-Care Sena (Facebook One-Timers)
EA-04184,27,Male,Urban,42500,Skincare,Groupon,Tablet,2.4,High,1,394.23,0,Gayab Grahak (Groupon One-Timers)
EA-01616,29,Female,Urban,32500,Bargains,Facebook Ad,Mobile,1.9,Medium,1,206.76,2,Self-Care Sena (Facebook One-Timers)
EA-03025,38,Female,Suburban,88500,Bargains,Facebook Ad,Mobile,5.2,High,3,475.71,3,Hamesha 25 Club (Referral Regulars)
EA-01414,50,Female,Urban,117500,Skincare,Referral,Mobile,2.0,High,1,309.02,3,Hamesha 25 Club (Referral Regulars)
EA-00764,26,Female,Urban,54000,Bargains,Facebook Ad,Mobile,3.1,High,1,345.97,2,Self-Care Sena (Facebook One-Timers)
EA-00656,30,Female,Urban,55500,Bargains,Facebook Ad,Tablet,5.3,High,1,349.93,2,Self-Care Sena (Facebook One-Timers)
EA-04798,35,Female,Urban,30500,Bargains,Groupon,Mobile,5.3,High,3,380.57,0,Gayab Grahak (Groupon One-Timers)
EA-03850,31,Female,Urban,62000,Skincare,Facebook Ad,Mobile,0.4,High,1,396.27,2,Self-Care Sena (Facebook One-Timers)
EA-04154,30,Female,Urban,66000,Skincare,Groupon,Desktop,6.5,Medium,1,660.37,0,Gayab Grahak (Groupon One-Timers)
EA-00469,29,Female,Suburban,64000,Bargains,Facebook Ad,Mobile,3.5,High,1,292.73,2,Self-Care Sena (Facebook One-Timers)
EA-00158,30,Female,Suburban,103000,Skincare,Organic Search,Tablet,23.3,Low,5,2423.75,1,Glow Ke Nawab (Organic VIPs)
EA-01296,33,Female,Rural,55500,Bargains,Facebook Ad,Mobile,6.8,High,1,545.07,2,Self-Care Sena (Facebook One-Timers)
EA-00498,27,Female,Urban,76500,Bargains,Groupon,Desktop,3.6,High,1,451.04,0,Gayab Grahak (Groupon One-Timers)
EA-04741,31,Female,Urban,56500,Bargains,Facebook Ad,Tablet,4.0,High,1,276.26,2,Self-Care Sena (Facebook One-Timers)
EA-02941,45,Female,Rural,67500,Skincare,Referral,Desktop,9.0,Low,2,1132.5,3,Hamesha 25 Club (Referral Regulars)
EA-03457,29,Female,Urban,47500,Skincare,Referral,Mobile,4.8,Low,1,1086.94,0,Gayab Grahak (Groupon One-Timers)
EA-00374,21,Female,Suburban,37500,Bargains,Facebook Ad,Mobile,4.8,Medium,1,395.86,2,Self-Care Sena (Facebook One-Timers)
EA-00080,35,Female,Rural,114000,Anti-aging,Organic Search,Mobile,8.2,Low,3,2195.5,1,Glow Ke Nawab (Organic VIPs)
EA-01554,28,Female,Rural,57000,Bargains,Facebook Ad,Mobile,3.5,High,1,150.0,2,Self-Care Sena (Facebook One-Timers)
EA-01670,41,Female,Rural,91000,Anti-aging,Organic Search,Desktop,12.0,Low,2,2500.0,1,Glow Ke Nawab (Organic VIPs)
EA-02132,42,Female,Urban,63500,Skincare,Organic Search,Mobile,8.7,Low,2,1333.25,3,Hamesha 25 Club (Referral Regulars)
EA-04440,29,Female,Urban,62500,Bargains,Facebook Ad,Mobile,5.4,High,1,162.55,2,Self-Care Sena (Facebook One-Timers)
EA-00466,43,Female,Suburban,124000,Anti-aging,Organic Search,Tablet,19.7,Low,3,1763.45,1,Glow Ke Nawab (Organic VIPs)
EA-00249,19,Female,Urban,45000,Bargains,Facebook Ad,Mobile,0.8,Medium,1,405.55,2,Self-Care Sena (Facebook One-Timers)
EA-00932,30,Female,Suburban,42500,Bargains,Facebook Ad,Mobile,2.1,High,1,290.96,2,Self-Care Sena (Facebook One-Timers)
EA-01336,56,Female,Urban,96000,Skincare,Organic Search,Tablet,22.1,Low,5,2500.0,1,Glow Ke Nawab (Organic VIPs)
EA-04525,63,Female,Suburban,113000,Wellness,Organic Search,Tablet,4.5,Medium,3,1718.67,1,Glow Ke Nawab (Organic VIPs)
EA-01339,44,Female,Urban,131500,Skincare,Organic Search,Mobile,19.2,Low,4,2048.46,1,Glow Ke Nawab (Organic VIPs)
EA-01407,58,Female,Suburban,72500,Bargains,Referral,Mobile,6.8,Medium,2,846.33,3,Hamesha 25 Club (Referral Regulars)
EA-01091,40,Female,Suburban,79000,Wellness,Facebook Ad,Mobile,2.1,High,1,313.12,2,Self-Care Sena (Facebook One-Timers)
EA-04210,19,Female,Urban,56500,Bargains,Facebook Ad,Mobile,4.0,High,1,438.8,2,Self-Care Sena (Facebook One-Timers)
EA-00743,54,Male,Urban,92500,Anti-aging,Organic Search,Mobile,16.4,Medium,5,2224.33,1,Glow Ke Nawab (Organic VIPs)
EA-02324,33,Female,Urban,45500,Skincare,Facebook Ad,Mobile,3.8,Medium,1,175.59,2,Self-Care Sena (Facebook One-Timers)
EA-03602,34,Female,Suburban,54000,Bargains,Facebook Ad,Tablet,1.9,High,1,281.08,2,Self-Care Sena (Facebook One-Timers)
EA-02124,33,Male,Rural,69500,Bargains,Facebook Ad,Mobile,3.1,High,1,474.42,2,Self-Care Sena (Facebook One-Timers)
EA-02095,51,Female,Suburban,88500,Skincare,Referral,Desktop,16.7,Medium,3,956.98,3,Hamesha 25 Club (Referral Regulars)
EA-00241,39,Female,Urban,88000,Anti-aging,Organic Search,Mobile,12.4,Low,5,2154.46,1,Glow Ke Nawab (Organic VIPs)
EA-02352,40,Female,Suburban,109500,Skincare,Organic Search,Mobile,19.0,Low,4,1756.84,1,Glow Ke Nawab (Organic VIPs)
EA-01371,38,Female,Urban,62000,Bargains,Facebook Ad,Desktop,3.2,High,1,349.72,2,Self-Care Sena (Facebook One-Timers)
EA-01058,21,Female,Suburban,44500,Anti-aging,Facebook Ad,Mobile,2.8,High,1,292.09,2,Self-Care Sena (Facebook One-Timers)
EA-04817,19,Female,Suburban,22000,Bargains,Facebook Ad,Mobile,1.4,Medium,1,512.56,2,Self-Care Sena (Facebook One-Timers)
EA-00200,33,Female,Rural,54500,Skincare,Facebook Ad,Mobile,3.4,High,1,749.34,2,Self-Care Sena (Facebook One-Timers)
EA-02281,28,Female,Urban,38500,Skincare,Groupon,Mobile,4.8,Medium,1,603.87,0,Gayab Grahak (Groupon One-Timers)
EA-04750,29,Female,Rural,38000,Bargains,Facebook Ad,Mobile,5.0,Medium,1,397.6,2,Self-Care Sena (Facebook One-Timers)
EA-02221,31,Female,Suburban,44000,Bargains,Facebook Ad,Mobile,1.5,High,1,150.0,2,Self-Care Sena (Facebook One-Timers)
EA-04772,31,Female,Urban,59500,Bargains,Facebook Ad,Mobile,3.4,High,1,515.47,2,Self-Care Sena (Facebook One-Timers)
EA-02820,38,Female,Suburban,80500,Wellness,Referral,Tablet,5.7,Medium,3,1115.55,3,Hamesha 25 Club (Referral Regulars)
EA-03151,21,Female,Urban,42500,Bargains,Facebook Ad,Mobile,3.5,High,1,334.84,2,Self-Care Sena (Facebook One-Timers)
EA-04257,26,Male,Urban,31000,Skincare,Facebook Ad,Mobile,3.6,High,3,373.17,2,Self-Care Sena (Facebook One-Timers)
EA-03108,33,Female,Rural,37500,Bargains,Groupon,Mobile,4.0,Medium,1,441.44,0,Gayab Grahak (Groupon One-Timers)
EA-01974,44,Female,Urban,71500,Skincare,Facebook Ad,Tablet,1.4,High,1,378.02,2,Self-Care Sena (Facebook One-Timers)
EA-01376,30,Male,Suburban,23000,Bargains,Facebook Ad,Mobile,4.3,High,1,306.8,2,Self-Care Sena (Facebook One-Timers)
EA-03969,27,Female,Suburban,45000,Bargains,Groupon,Mobile,5.4,Medium,1,357.85,0,Gayab Grahak (Groupon One-Timers)
EA-04063,20,Female,Suburban,47500,Bargains,Facebook Ad,Tablet,6.5,High,1,225.88,2,Self-Care Sena (Facebook One-Timers)
EA-04446,44,Female,Suburban,76500,Bargains,Groupon,Mobile,0.4,High,1,458.02,0,Gayab Grahak (Groupon One-Timers)
EA-03558,30,Female,Urban,90000,Skincare,Referral,Mobile,13.2,Medium,3,827.5,3,Hamesha 25 Club (Referral Regulars)
EA-00965,45,Female,Suburban,81500,Skincare,Referral,Desktop,9.9,Low,4,1189.97,3,Hamesha 25 Club (Referral Regulars)
EA-00180,35,Female,Urban,96500,Wellness,Organic Search,Desktop,22.9,Low,7,2159.21,1,Glow Ke Nawab (Organic VIPs)
EA-03699,33,Female,Urban,72500,Bargains,Facebook Ad,Mobile,2.5,High,1,283.38,2,Self-Care Sena (Facebook One-Timers)
EA-03822,38,Female,Suburban,25000,Bargains,Groupon,Mobile,2.2,High,1,329.03,0,Gayab Grahak (Groupon One-Timers)
EA-04879,34,Male,Suburban,32500,Bargains,Facebook Ad,Mobile,4.1,Medium,1,150.0,2,Self-Care Sena (Facebook One-Timers)
EA-03900,25,Female,Suburban,83500,Skincare,Facebook Ad,Mobile,5.2,High,1,150.0,2,Self-Care Sena (Facebook One-Timers)
EA-04488,24,Female,Suburban,43500,Skincare,Facebook Ad,Mobile,2.2,High,1,237.49,2,Self-Care Sena (Facebook One-Timers)
EA-03239,22,Female,Rural,31000,Bargains,Facebook Ad,Mobile,6.0,High,1,323.93,2,Self-Care Sena (Facebook One-Timers)
EA-02975,26,Female,Suburban,41000,Wellness,Groupon,Desktop,4.4,High,1,458.99,0,Gayab Grahak (Groupon One-Timers)
EA-03581,42,Female,Urban,134500,Skincare,Organic Search,Mobile,14.0,Low,3,2213.95,1,Glow Ke Nawab (Organic VIPs)
EA-02888,50,Female,Rural,81500,Wellness,Referral,Mobile,18.9,Medium,2,300.0,3,Hamesha 25 Club (Referral Regulars)
EA-02576,33,Female,Urban,68000,Skincare,Groupon,Tablet,1.4,Medium,1,404.15,0,Gayab Grahak (Groupon One-Timers)
EA-01420,39,Female,Urban,69500,Wellness,Referral,Desktop,5.7,Medium,3,927.75,3,Hamesha 25 Club (Referral Regulars)
EA-03908,40,Female,Urban,101500,Skincare,Organic Search,Mobile,16.5,Low,3,2087.21,1,Glow Ke Nawab (Organic VIPs)
EA-04674,37,Female,Rural,51500,Wellness,Facebook Ad,Mobile,4.9,High,1,273.77,2,Self-Care Sena (Facebook One-Timers)
EA-04903,26,Female,Suburban,46000,Bargains,Facebook Ad,Mobile,1.7,High,1,211.42,2,Self-Care Sena (Facebook One-Timers)
EA-01861,19,Male,Urban,62000,Bargains,Groupon,Desktop,3.8,Medium,1,446.99,0,Gayab Grahak (Groupon One-Timers)
EA-00009,32,Female,Suburban,70000,Anti-aging,Facebook Ad,Mobile,1.2,High,1,428.26,2,Self-Care Sena (Facebook One-Timers)
EA-02895,51,Female,Rural,55500,Anti-aging,Referral,Desktop,9.7,Medium,2,1071.4,3,Hamesha 25 Club (Referral Regulars)
EA-02848,19,Male,Urban,36000,Bargains,Facebook Ad,Mobile,4.4,Medium,1,395.56,2,Self-Care Sena (Facebook One-Timers)
EA-03665,34,Female,Suburban,78000,Bargains,Facebook Ad,Mobile,6.6,High,1,374.52,2,Self-Care Sena (Facebook One-Timers)
EA-00145,27,Male,Suburban,68000,Bargains,Groupon,Mobile,0.8,High,1,414.65,0,Gayab Grahak (Groupon One-Timers)
EA-02105,24,Female,Urban,55000,Bargains,Groupon,Mobile,4.4,High,1,319.28,0,Gayab Grahak (Groupon One-Timers)
EA-03144,29,Female,Suburban,78500,Bargains,Facebook Ad,Mobile,1.4,High,1,379.85,2,Self-Care Sena (Facebook One-Timers)
EA-00842,40,Female,Suburban,125000,Wellness,Organic Search,Mobile,8.4,Medium,1,1360.59,3,Hamesha 25 Club (Referral Regulars)
EA-01129,52,Female,Suburban,87000,Wellness,Organic Search,Desktop,25.7,Medium,5,1802.23,1,Glow Ke Nawab (Organic VIPs)
EA-00152,36,Female,Urban,58000,Skincare,Referral,Mobile,10.7,Low,1,1200.33,3,Hamesha 25 Club (Referral Regulars)
EA-03592,20,Female,Urban,28500,Bargains,Facebook Ad,Mobile,1.3,High,1,568.52,2,Self-Care Sena (Facebook One-Timers)
EA-01053,41,Female,Urban,42000,Bargains,Facebook Ad,Mobile,0.4,High,1,150.0,2,Self-Care Sena (Facebook One-Timers)
EA-01591,34,Female,Suburban,55000,Bargains,Facebook Ad,Mobile,7.7,High,1,417.01,2,Self-Care Sena (Facebook One-Timers)
EA-03009,25,Female,Suburban,37000,Bargains,Facebook Ad,Mobile,3.1,High,1,431.8,2,Self-Care Sena (Facebook One-Timers)
EA-02030,27,Female,Urban,64000,Skincare,Groupon,Mobile,4.7,Medium,1,351.98,0,Gayab Grahak (Groupon One-Timers)
EA-03419,20,Female,Urban,42000,Bargains,Facebook Ad,Mobile,3.5,Medium,3,182.16,2,Self-Care Sena (Facebook One-Timers)
EA-01808,21,Female,Urban,39500,Bargains,Groupon,Mobile,4.4,High,1,418.88,0,Gayab Grahak (Groupon One-Timers)
EA-02697,49,Male,Suburban,75500,Skincare,Organic Search,Mobile,23.7,Low,6,1561.4,1,Glow Ke Nawab (Organic VIPs)
EA-03040,22,Female,Urban,44500,Bargains,Groupon,Mobile,0.9,High,1,446.61,0,Gayab Grahak (Groupon One-Timers)
EA-00473,26,Female,Suburban,52000,Bargains,Facebook Ad,Mobile,0.4,High,1,479.83,2,Self-Care Sena (Facebook One-Timers)
EA-03290,38,Female,Rural,47500,Bargains,Groupon,Desktop,3.0,High,1,401.99,0,Gayab Grahak (Groupon One-Timers)
EA-04075,27,Female,Urban,55500,Wellness,Facebook Ad,Mobile,4.7,High,1,372.92,2,Self-Care Sena (Facebook One-Timers)
EA-03497,28,Female,Urban,141500,Wellness,Organic Search,Mobile,16.3,Low,4,2279.03,1,Glow Ke Nawab (Organic VIPs)
EA-00280,44,Male,Suburban,113000,Wellness,Organic Search,Mobile,12.5,Low,3,1137.27,1,Glow Ke Nawab (Organic VIPs)
EA-01742,31,Male,Suburban,82000,Bargains,Facebook Ad,Tablet,3.0,High,2,550.07,2,Self-Care Sena (Facebook One-Timers)
EA-04625,35,Female,Rural,65500,Bargains,Facebook Ad,Mobile,3.5,Low,1,577.67,2,Self-Care Sena (Facebook One-Timers)
EA-02887,27,Female,Suburban,68000,Bargains,Facebook Ad,Mobile,4.5,High,1,371.17,2,Self-Care Sena (Facebook One-Timers)
EA-01942,29,Female,Suburban,50500,Skincare,Groupon,Desktop,0.4,Medium,1,607.99,0,Gayab Grahak (Groupon One-Timers)
EA-00101,42,Female,Suburban,68500,Skincare,Referral,Mobile,7.6,Medium,2,936.08,3,Hamesha 25 Club (Referral Regulars)
EA-02805,36,Female,Urban,62500,Skincare,Facebook Ad,Mobile,5.4,Medium,1,260.41,2,Self-Care Sena (Facebook One-Timers)
EA-03571,30,Female,Urban,81000,Skincare,Organic Search,Tablet,3.5,Medium,1,1656.29,3,Hamesha 25 Club (Referral Regulars)
EA-03685,27,Female,Rural,46000,Bargains,Facebook Ad,Mobile,3.6,Low,1,335.89,2,Self-Care Sena (Facebook One-Timers)
EA-03662,48,Female,Rural,41500,Skincare,Referral,Mobile,8.2,Medium,1,734.89,3,Hamesha 25 Club (Referral Regulars)
EA-00531,50,Female,Urban,126000,Skincare,Organic Search,Desktop,18.1,High,6,1762.14,1,Glow Ke Nawab (Organic VIPs)
EA-01887,25,Female,Suburban,47000,Bargains,Facebook Ad,Mobile,1.4,Medium,1,382.1,2,Self-Care Sena (Facebook One-Timers)
EA-00682,37,Male,Urban,33000,Bargains,Facebook Ad,Tablet,2.0,Medium,1,440.89,2,Self-Care Sena (Facebook One-Timers)
EA-03795,34,Female,Urban,74000,Skincare,Groupon,Mobile,1.1,High,1,403.77,0,Gayab Grahak (Groupon One-Timers)
EA-03945,19,Female,Urban,52000,Bargains,Facebook Ad,Mobile,3.8,High,1,471.11,2,Self-Care Sena (Facebook One-Timers)
EA-04667,43,Male,Urban,127500,Skincare,Organic Search,Mobile,3.2,Medium,2,1843.66,1,Glow Ke Nawab (Organic VIPs)
EA-02019,21,Female,Suburban,55500,Bargains,Groupon,Mobile,2.0,High,1,396.38,0,Gayab Grahak (Groupon One-Timers)
EA-01097,29,Female,Urban,34500,Bargains,Facebook Ad,Desktop,2.7,High,1,612.1,2,Self-Care Sena (Facebook One-Timers)
EA-00830,28,Male,Suburban,63000,Skincare,Facebook Ad,Mobile,5.7,High,3,225.99,2,Self-Care Sena (Facebook One-Timers)
